duration,fix_avgpos_x,fix_avgpos_y,fix_avgpupilsize,fix_samebox,fix_type,id,latency,onset,overlapping,picID,sac_amplitude,sac_endpos_x,sac_endpos_y,sac_startpos_x,sac_startpos_y,sac_vmax,stim_file,stim_set,trialnum,type
5.49,5.53,5.61,5.67,5.62,6.34,6.31,5.98,5.98,5.97,6.09,5.57,6.22,5.68,6.22,5.76,5.55,5.99,6.04,6.31,5.86
5.34,5.4,5.45,5.47,5.42,6.53,6.23,5.73,5.73,5.72,5.86,5.5,6.0,5.53,6.05,5.58,5.48,5.71,5.71,6.23,5.75
5.54,5.59,5.59,5.6,5.56,6.31,6.05,5.87,5.87,5.87,5.99,5.68,6.14,5.72,6.19,5.74,5.69,5.92,5.92,6.05,5.9
5.26,5.29,5.32,5.34,5.28,6.23,6.38,5.76,5.76,5.76,6.1,5.33,6.23,5.39,6.21,5.49,5.37,5.82,5.82,6.38,5.81
5.1,5.29,5.35,5.35,5.28,6.14,5.84,5.57,5.57,5.6,5.52,5.29,6.05,5.47,6.08,5.49,5.34,5.68,5.43,5.84,5.43
5.43,5.45,5.52,5.49,5.51,6.19,6.24,5.74,5.74,5.74,5.68,5.51,6.06,5.64,5.99,5.64,5.49,5.79,5.75,6.24,5.71
5.16,5.1,5.14,5.2,5.11,6.21,5.86,5.35,5.35,5.28,5.58,5.27,5.95,5.31,5.99,5.33,5.3,5.4,5.4,5.86,5.79
5.2,5.22,5.22,5.2,5.16,6.23,5.64,5.23,5.23,5.22,5.64,5.36,6.12,5.4,6.14,5.38,5.37,5.26,5.26,5.64,5.93
5.07,5.14,5.15,5.19,5.07,5.81,5.49,5.25,5.25,5.39,5.14,5.25,5.99,5.29,6.02,5.36,5.29,5.47,5.38,5.49,5.37
5.16,5.18,5.22,5.18,5.19,5.95,5.67,5.33,5.33,5.48,5.6,5.28,5.88,5.4,5.82,5.38,5.25,5.54,5.39,5.67,5.68
5.33,5.37,5.4,5.38,5.47,5.99,5.66,5.53,5.53,5.6,5.46,5.46,5.84,5.53,5.74,5.55,5.51,5.64,5.56,5.66,5.77
4.79,4.85,4.86,4.83,4.84,5.75,5.51,5.08,5.08,5.12,5.34,4.89,5.73,4.9,5.8,4.93,4.93,5.05,5.0,5.51,5.4
5.23,5.24,5.28,5.26,5.42,5.95,5.55,5.52,5.52,5.57,5.56,5.29,5.37,5.42,5.42,5.44,5.37,5.69,5.69,5.55,5.66
4.89,4.93,4.94,4.91,5.01,5.86,5.56,5.19,5.19,5.3,5.49,4.97,5.63,5.09,5.66,5.07,5.02,5.36,5.36,5.56,5.34
5.2,5.22,5.21,5.22,5.15,5.64,5.41,5.33,5.33,5.34,5.35,5.26,5.28,5.33,5.31,5.31,5.25,5.18,5.29,5.41,5.48
5.15,5.15,5.19,5.17,5.29,5.51,5.51,5.49,5.49,5.65,5.58,5.27,5.3,5.37,5.36,5.34,5.3,5.66,5.5,5.51,5.59
4.9,5.22,5.23,5.22,5.24,5.71,5.56,5.35,5.35,5.36,5.16,5.18,5.4,5.16,5.5,5.21,5.17,5.34,5.09,5.56,5.05
4.64,4.59,4.62,4.57,4.62,5.07,5.32,4.79,4.79,4.61,5.62,4.63,5.54,4.73,5.63,4.74,4.65,4.78,4.87,5.32,5.65
5.35,5.33,5.49,5.44,5.4,5.98,6.05,5.77,5.77,5.62,6.03,5.53,6.16,5.72,6.08,5.68,5.46,5.59,5.77,6.05,6.12
5.09,5.04,5.04,5.04,5.05,5.23,5.59,5.29,5.29,5.32,5.24,5.08,5.3,5.08,5.42,5.11,5.08,5.37,5.37,5.59,5.42
4.64,4.74,4.78,4.9,4.91,5.84,5.97,5.24,5.24,5.23,5.78,4.75,5.43,4.8,5.42,4.84,4.78,5.21,5.2,5.97,5.73
4.74,4.8,4.82,4.83,4.87,5.66,5.83,5.15,5.15,5.15,5.59,4.83,5.58,4.88,5.64,4.9,4.82,5.2,5.16,5.83,5.15
4.99,5.3,5.3,5.27,5.25,5.83,5.83,5.39,5.39,5.66,5.52,5.28,5.66,5.33,5.8,5.38,5.24,5.51,5.25,5.83,5.39
5.38,5.39,5.42,5.38,5.39,5.55,5.69,5.53,5.53,5.52,5.34,5.53,5.82,5.55,5.9,5.59,5.52,5.58,5.5,5.69,5.58
4.58,4.52,4.53,4.55,4.53,5.54,5.81,4.77,4.77,4.77,5.25,4.65,5.6,4.6,5.67,4.66,4.59,4.79,4.81,5.81,5.42
4.51,4.52,4.53,4.51,4.49,6.28,5.87,4.77,4.77,4.69,5.52,4.67,5.68,4.66,5.67,4.68,4.7,4.66,4.71,5.87,5.29
5.18,5.2,5.22,5.23,5.16,6.26,5.97,5.42,5.42,5.41,5.51,5.29,5.97,5.32,5.99,5.38,5.29,5.46,5.35,5.97,5.27
5.55,5.62,5.62,5.62,5.52,6.32,6.01,5.63,5.63,5.77,5.61,5.73,6.21,5.7,6.19,5.75,5.7,5.93,5.6,6.01,5.69
5.02,5.22,5.23,5.26,5.2,6.31,5.82,5.4,5.4,5.2,5.62,5.27,5.73,5.35,5.76,5.4,5.29,5.21,5.18,5.82,5.6
5.52,5.52,5.51,5.57,5.47,5.89,5.88,5.71,5.71,5.7,5.55,5.54,6.1,5.68,6.19,5.71,5.61,5.75,5.76,5.88,5.76
5.42,5.42,5.43,5.52,5.36,6.27,5.89,5.46,5.46,5.46,5.72,5.45,6.04,5.62,6.17,5.72,5.49,5.51,5.51,5.89,6.0
5.4,5.49,5.51,5.6,5.45,6.25,5.97,5.59,5.59,5.59,5.62,5.55,6.16,5.7,6.29,5.78,5.6,5.53,5.52,5.97,5.88
5.37,5.41,5.45,5.52,5.45,6.12,6.49,5.86,5.86,5.86,6.12,5.44,6.38,5.53,6.35,5.62,5.44,5.94,5.94,6.49,5.8
5.33,5.46,5.54,5.58,5.53,6.39,6.22,5.86,5.86,5.86,5.9,5.49,6.15,5.65,6.25,5.72,5.5,5.9,5.79,6.22,5.6
5.28,5.28,5.32,5.4,5.33,6.39,6.05,5.57,5.57,5.56,5.78,5.38,6.0,5.43,6.04,5.47,5.37,5.63,5.63,6.05,5.8
